country,main_cat,sub_cat1,new_mult
BE,BÜRO,BÜRO-KOMPLETTSETS,0.71
BE,BÜRO,BÜROSCHRÄNKE,0.97
BE,BÜRO,BÜROSTÜHLE,0.75
BE,BÜRO,SCHREIBTISCHE,0.84
BE,BÜRO,SEKRETÄRE,0.6
BE,ESSZIMMERSTÜHLE&BÄNKE,BARHOCKER,0.91
BE,ESSZIMMERSTÜHLE&BÄNKE,BÄNKE,1.51
BE,ESSZIMMERSTÜHLE&BÄNKE,ESSZIMMERSTÜHLE,0.67
BE,ESSZIMMERTISCHE,ESSTISCHE,0.93
BE,FLURMÖBEL,GARDEROBEN,0.39
BE,FLURMÖBEL,SCHUHSCHRÄNKE,0.54
BE,HAUSHALT,GESCHIRR,0.3
BE,HAUSHALT,MÜLLEIMER,0.65
BE,HEIMTEXTILIEN,BADEMATTEN & BADTEPPICHE,0.77
BE,HEIMTEXTILIEN,BETTWÄSCHE,1.07
BE,HEIMTEXTILIEN,DUSCHVORHÄNGE,0.64
BE,HEIMTEXTILIEN,GARDINEN & VORHÄNGE,1.14
BE,HEIMTEXTILIEN,HANDTÜCHER,0.93
BE,HEIMTEXTILIEN,KISSEN,2.25
BE,HEIMTEXTILIEN,TAGESDECKEN & PLAIDS,0.65
BE,HEIMTEXTILIEN,TISCHWÄSCHE,1.06
BE,KINDER,BABYMÖBEL,0.66
BE,KINDER,KINDERZIMMERMÖBEL,0.65
BE,LEUCHTEN,AUßENLEUCHTEN,0.65
BE,LEUCHTEN,INNENLEUCHTEN,0.6
BE,LEUCHTEN,ZUBEHÖR,0.52
BE,POLSTER,EINZELSOFAS,0.59
BE,POLSTER,RELAXLIEGEN,0.57
BE,POLSTER,SCHLAFSOFAS,0.63
BE,POLSTER,SESSEL,0.54
BE,SCHLAFZIMMERMÖBEL,BETTBÄNKE&BETTTRUHEN,0.58
BE,SCHLAFZIMMERMÖBEL,NACHTKOMMODEN,0.66
BE,TEPPICHE & BODENBELÄGE,FUß- & SAUBERLAUFMATTEN,1.53
BE,TEPPICHE & BODENBELÄGE,HOCHFLORTEPPICHE & SHAGGYS,0.75
BE,TEPPICHE & BODENBELÄGE,KINDERTEPPICHE,0.62
BE,TEPPICHE & BODENBELÄGE,KURZFLORTEPPICHE,0.96
BE,TEPPICHE & BODENBELÄGE,LÄUFER,0.97
BE,TEPPICHE & BODENBELÄGE,OUTDOOR-TEPPICHE,1.13
BE,WOHNEN,KOMMODEN & SIDEBOARDS,0.94
BE,WOHNEN,REGALE,0.86
BE,WOHNEN,TISCHE,0.67
BE,WOHNEN,TV-MEDIAMÖBEL,0.7
BE,WOHNEN,VITRINEN & SCHRÄNKE,1.15
CH,BABY,KOMPLETTPROGRAMME & SETS,9.43
CH,BAD,BADSCHRÄNKE,1.43
CH,BAD,WASCHTISCHE,1.39
CH,BETTEN,BETTGESTELLE,0.99
CH,BETTEN,BOXSPRINGBETTEN,1.04
CH,BETTEN,HIMMELBETTEN,0.72
CH,BETTEN,ZUBEHÖR,1.81
CH,BOUTIQUE,AUFBEWAHRUNG,4.72
CH,BOUTIQUE,DEKORATION,0.64
CH,BÜRO,BÜROSCHRÄNKE,1.62
CH,BÜRO,BÜROSTÜHLE,0.73
CH,BÜRO,SCHREIBTISCHE,1.09
CH,BÜRO,SEKRETÄRE,0.94
CH,ESSZIMMERSTÜHLE&BÄNKE,BARHOCKER,1.18
CH,ESSZIMMERSTÜHLE&BÄNKE,BÄNKE,1.54
CH,ESSZIMMERSTÜHLE&BÄNKE,ESSZIMMERSTÜHLE,0.96
CH,ESSZIMMERTISCHE,BARTISCHE,1.73
CH,ESSZIMMERTISCHE,ESSTISCHE,1.26
CH,FLURMÖBEL,GARDEROBEN,1.35
CH,FLURMÖBEL,SCHUHSCHRÄNKE,0.92
CH,HEIMTEXTILIEN,KISSEN,1.21
CH,KINDER,BABYMÖBEL,1.65
CH,KINDER,KINDER-SPIELZEUGE,2.89
CH,KINDER,KINDERZIMMERMÖBEL,2.42
CH,LEUCHTEN,INNENLEUCHTEN,6.81
CH,MATRATZEN&LATTENROSTE,LATTENROSTE,0.93
CH,MATRATZEN&LATTENROSTE,MATRATZENTOPPER,0.79
CH,POLSTER,ECKSOFAS,1.5
CH,POLSTER,EINZELSOFAS,0.58
CH,POLSTER,RELAXLIEGEN,0.96
CH,POLSTER,SCHLAFSOFAS,1.58
CH,POLSTER,SESSEL,0.79
CH,POLSTER,SITZWÜRFEL & POLSTERHOCKER,0.67
CH,POLSTER,WOHNLANDSCHAFTEN,1.47
CH,SCHLAFZIMMERMÖBEL,KLEIDERSCHRÄNKE & ZUBEHÖR,1.35
CH,SCHLAFZIMMERMÖBEL,KOMMODEN,1.29
CH,SCHLAFZIMMERMÖBEL,NACHTKOMMODEN,0.91
CH,SCHLAFZIMMERMÖBEL,SCHMINKTISCHE,1.49
CH,TEPPICHE & BODENBELÄGE,OUTDOOR-TEPPICHE,0.84
CH,WOHNEN,KOMMODEN & SIDEBOARDS,1.6
CH,WOHNEN,REGALE,1.4
CH,WOHNEN,TISCHE,1.4
CH,WOHNEN,TV-MEDIAMÖBEL,0.95
CH,WOHNEN,VITRINEN & SCHRÄNKE,1.24
FR,BABY,KOMPLETTPROGRAMME & SETS,9.77
FR,BAD,BADREGALE,1.07
FR,BAD,BADSCHRÄNKE,1.09
FR,BAD,BADSET,0.98
FR,BAD,SPIEGEL,1.07
FR,BAD,WASCHTISCHE,1.0
FR,BETTEN,BETTGESTELLE,1.07
FR,BETTEN,ZUBEHÖR,1.67
FR,BOUTIQUE,AUFBEWAHRUNG,1.26
FR,BOUTIQUE,BADACCESSOIRES,1.11
FR,BOUTIQUE,DEKORATION,1.12
FR,BOUTIQUE,SAISONARTIKEL WEIHNACHTEN,0.37
FR,BOUTIQUE,WANDEKORATION,1.26
FR,BÜRO,BÜROSCHRÄNKE,0.87
FR,BÜRO,BÜROSTÜHLE,0.8
FR,BÜRO,SCHREIBTISCHE,1.06
FR,BÜRO,SEKRETÄRE,1.11
FR,ESSZIMMERSTÜHLE&BÄNKE,BARHOCKER,0.98
FR,ESSZIMMERSTÜHLE&BÄNKE,BÄNKE,0.51
FR,ESSZIMMERSTÜHLE&BÄNKE,ESSZIMMERSTÜHLE,0.91
FR,ESSZIMMERTISCHE,BAR,1.1
FR,ESSZIMMERTISCHE,BARTISCHE,0.34
FR,ESSZIMMERTISCHE,ESSTISCHE,1.32
FR,FLURMÖBEL,GARDEROBEN,0.44
FR,FLURMÖBEL,SCHUHSCHRÄNKE,0.34
FR,GARTEN,BÄNKE & HOCKER,2.11
FR,GARTEN,GARTENZUBEHÖR,0.24
FR,HAUSHALT,GESCHIRR,0.46
FR,HAUSHALT,KÜCHENAUFBEWAHRUNG,1.13
FR,HAUSHALT,KÜCHENHELFER,1.81
FR,HAUSHALT,KÜCHENUTENSILIEN,1.14
FR,HAUSHALT,MÜLLEIMER,1.27
FR,HAUSHALT,TÖPFE,6.1
FR,HEIMTEXTILIEN,BADEMATTEN & BADTEPPICHE,1.28
FR,HEIMTEXTILIEN,BETTLAKEN,1.2
FR,HEIMTEXTILIEN,BETTWÄSCHE,1.24
FR,HEIMTEXTILIEN,DUSCHVORHÄNGE,0.88
FR,HEIMTEXTILIEN,GARDINEN & VORHÄNGE,1.0
FR,HEIMTEXTILIEN,HANDTÜCHER,0.96
FR,HEIMTEXTILIEN,KISSEN,3.12
FR,HEIMTEXTILIEN,TAGESDECKEN & PLAIDS,0.84
FR,KINDER,BABYMÖBEL,1.92
FR,KINDER,BETTEN & ZUBEHÖR,1.41
FR,KINDER,KINDERMÖBEL-ZUBEHÖR,1.66
FR,KINDER,KINDERZIMMERMÖBEL,0.92
FR,LEUCHTEN,AUßENLEUCHTEN,0.88
FR,LEUCHTEN,INNENLEUCHTEN,0.84
FR,LEUCHTEN,ZUBEHÖR,0.79
FR,POLSTER,EINZELSOFAS,0.61
FR,POLSTER,RELAXLIEGEN,0.69
FR,POLSTER,SCHLAFSOFAS,1.83
FR,POLSTER,SESSEL,0.84
FR,POLSTER,SITZWÜRFEL & POLSTERHOCKER,0.38
FR,SCHLAFZIMMERMÖBEL,BETTBÄNKE&BETTTRUHEN,0.86
FR,SCHLAFZIMMERMÖBEL,KLEIDERSCHRÄNKE & ZUBEHÖR,1.08
FR,SCHLAFZIMMERMÖBEL,NACHTKOMMODEN,0.7
FR,TEPPICHE & BODENBELÄGE,FELLTEPPICHE,1.87
FR,TEPPICHE & BODENBELÄGE,FUß- & SAUBERLAUFMATTEN,1.84
FR,TEPPICHE & BODENBELÄGE,HOCHFLORTEPPICHE & SHAGGYS,1.19
FR,TEPPICHE & BODENBELÄGE,KURZFLORTEPPICHE,0.93
FR,TEPPICHE & BODENBELÄGE,LÄUFER,1.79
FR,TEPPICHE & BODENBELÄGE,OUTDOOR-TEPPICHE,2.06
FR,TEPPICHE & BODENBELÄGE,WOLLTEPPICHE,0.84
FR,WOHNEN,KOMMODEN & SIDEBOARDS,1.05
FR,WOHNEN,REGALE,0.94
FR,WOHNEN,TISCHE,1.08
FR,WOHNEN,TV-MEDIAMÖBEL,0.65
FR,WOHNEN,VITRINEN & SCHRÄNKE,1.28
IT,BOUTIQUE,BADACCESSOIRES,0.8
IT,BÜRO,BÜROSCHRÄNKE,1.08
IT,BÜRO,BÜROSTÜHLE,0.97
IT,BÜRO,SCHREIBTISCHE,0.91
IT,BÜRO,SEKRETÄRE,1.87
IT,ESSZIMMERSTÜHLE&BÄNKE,ESSZIMMERSTÜHLE,0.59
IT,ESSZIMMERTISCHE,ESSTISCHE,1.4
IT,FLURMÖBEL,GARDEROBEN,0.61
IT,FLURMÖBEL,SCHUHSCHRÄNKE,0.45
IT,GARTEN,GARTENZUBEHÖR,0.27
