country,main_cat,sub_cat1,old_mult
BE,schlafzimmermöbel,kleiderschränke & zubehör,1.1
BE,esszimmerstühle&bänke,bänke,1.07
BE,betten,boxspringbetten,1.1
BE,esszimmertische,zubehör,1.07
BE,polster,sitzwürfel & polsterhocker,1.06
BE,polster,n/a,1.06
BE,esszimmerstühle&bänke,esszimmerstühle,1.07
BE,betten,gästebetten,1.1
BE,betten,himmelbetten,1.1
BE,haushalt,küchenhelfer,1.12
BE,küche,küche,1.12
BE,flurmöbel,n/a,1.1
BE,garten,garten loungemöbel,1.08
BE,heimtextilien,gardinen & vorhänge,1.14
BE,matratzen&lattenroste,matratzen,1.1
BE,schlafzimmermöbel,schlafzimmersets,1.1
BE,polster,relaxliegen,1.06
BE,esszimmerstühle&bänke,n/a,1.07
BE,leuchten,zubehör,1.1
BE,büro,n/a,1.12
BE,kinder,komplettprogramme & sets,1.11
BE,polster,wohnlandschaften,1.06
BE,schlafzimmermöbel,schminktische,1.1
BE,schlafzimmermöbel,kommoden,1.1
BE,teppiche & bodenbeläge,n/a,1.15
BE,boutique,dekoration,1.19
BE,flurmöbel,schuhschränke,1.1
BE,esszimmerstühle&bänke,barhocker,1.07
BE,polster,schlafsofas,1.06
BE,esszimmertische,essgruppen,1.07
BE,polster,polstergarnituren & sets,1.06
BE,flurmöbel,garderoben,1.1
BE,garten,gartenstühle,1.08
BE,polster,sessel,1.06
BE,kinder,schränke & zubehör,1.11
BE,heimtextilien,tagesdecken & plaids,1.14
BE,heimtextilien,duschvorhänge,1.14
BE,esszimmertische,bar,1.07
BE,boutique,duftartikel,1.19
BE,wohnen,kommoden & sideboards,1.1
BE,heimtextilien,tischwäsche,1.14
BE,kinder,nachttische,1.11
BE,wohnen,regale,1.1
BE,heimtextilien,kissen,1.14
BE,polster,recamieren,1.06
BE,kinder,sitzgelegenheiten,1.11
BE,wohnen,vitrinen & schränke,1.1
BE,garten,gartenzubehör,1.08
BE,baby,n/a,1.12
BE,esszimmertische,bartische,1.07
BE,büro,sekretäre,1.12
BE,wohnen,tv-mediamöbel,1.1
BE,haushalt,geschirr,1.12
BE,teppiche & bodenbeläge,wollteppiche,1.15
BE,heimtextilien,n/a,1.14
BE,betten,zubehör,1.1
BE,boutique,wandekoration,1.19
BE,bad,n/a,1.1
BE,heimtextilien,handtücher,1.14
BE,bad,badset,1.1
BE,teppiche & bodenbeläge,fellteppiche,1.15
BE,boutique,gartenaccessoires,1.19
BE,baby,komplettprogramme & sets,1.12
BE,wohnen,tische,1.1
BE,polster,bigsofas,1.06
BE,polster,einzelsofas,1.06
BE,baby,wickelkommoden & zubehör,1.12
BE,haushalt,küchenutensilien,1.12
BE,heimtextilien,bettwäsche,1.14
BE,teppiche & bodenbeläge,hochflorteppiche & shaggys,1.15
BE,leuchten,außenleuchten,1.1
BE,betten,bettgestelle,1.1
BE,haushalt,mülleimer,1.12
BE,bad,spiegel,1.1
BE,baby,regale,1.12
BE,schlafzimmermöbel,n/a,1.1
BE,matratzen&lattenroste,lattenroste,1.1
BE,boutique,aufbewahrung,1.19
BE,kinder,regale,1.11
BE,teppiche & bodenbeläge,läufer,1.15
BE,teppiche & bodenbeläge,kinderteppiche,1.15
BE,boutique,badaccessoires,1.19
BE,teppiche & bodenbeläge,kurzflorteppiche,1.15
BE,baby,betten,1.12
BE,esszimmertische,esstische,1.07
BE,schlafzimmermöbel,nachtkommoden,1.1
BE,haushalt,küchenaufbewahrung,1.12
BE,garten,bänke & hocker,1.08
BE,haushalt,gläser,1.12
BE,kinder,aufbewahrung,1.11
BE,bad,badregale,1.1
BE,heimtextilien,badematten & badteppiche,1.14
BE,büro,büroschränke,1.12
BE,esszimmertische,buffets,1.07
BE,büro,bürostühle,1.12
BE,schlafzimmermöbel,bettbänke&betttruhen,1.1
BE,heimtextilien,bettdecken & kopfkissen,1.14
BE,garten,komplettprogramme & sets,1.08
BE,leuchten,innenleuchten,1.1
BE,polster,ecksofas,1.06
BE,haushalt,kannen & krüge,1.12
BE,matratzen&lattenroste,matratzentopper,1.1
BE,kinder,kommoden,1.11
BE,wohnen,kamine,1.1
BE,garten,gartenliege,1.08
BE,garten,gartentische,1.08
CH,kinder,regale,1.39
CH,matratzen&lattenroste,lattenroste,1.42
CH,teppiche & bodenbeläge,kinderteppiche,1.4
CH,polster,bigsofas,1.35
CH,kinder,aufbewahrung,1.39
CH,boutique,aufbewahrung,1.42
